t,px,py,pz,vx,vy,vz,bax,bay,baz,wx,wy,wz,sigma_px,sigma_py,sigma_pz,sigma_vx,sigma_vy,sigma_vz,sigma_bax,sigma_bay,sigma_baz,sigma_wx,sigma_wy,sigma_wz,gps_used,gps_rejected,innovation_pos_norm,innovation_vel_norm
0.48,0.162106018576329,0.000285786784655677,-2.28414300249449,0.677005449913671,-0.185532217882909,-9.43891405865031,0,0,0,0,0,0,10.2843399899738,10.2843399899738,10.2843399899738,5.01174972240235,5.01174972240235,5.01174972240235,0.500449797682046,0.500449797682046,0.500449797682046,3.00333148353624,3.00333148353624,3.00333148353624,0,0,NaN,NaN
0.5,0.175966482854529,-0.00365159222701847,-2.47679817904578,0.709040977906339,-0.208205683284505,-9.82660359647883,0,0,0,0,0,0,10.3081915994332,10.3081915994332,10.3081915994332,5.01248838203143,5.01248838203143,5.01248838203143,0.500467781180767,0.500467781180767,0.500467781180767,3.0034646660149,3.0034646660149,3.0034646660149,0,0,NaN,NaN
0.52,0.190430616164227,-0.00801797822636395,-2.67721805678021,0.737372353063443,-0.228432916650043,-10.2153841769637,0,0,0,0,0,0,10.3329619732024,10.3329619732024,10.3329619732024,5.01324691663996,5.01324691663996,5.01324691663996,0.500485764033304,0.500485764033304,0.500485764033304,3.00359784258812,3.00359784258812,3.00359784258812,0,0,NaN,NaN
0.54,0.205484199006829,-0.0127958039990692,-2.8853875830747,0.767985931196773,-0.249349660620481,-10.601568452485,0,0,0,0,0,0,10.3586449124528,10.3586449124528,10.3586449124528,5.0140253186437,5.0140253186437,5.0140253186437,0.500503746239726,0.500503746239726,0.500503746239726,3.00373101325668,3.00373101325668,3.00373101325668,0,0,NaN,NaN
0.56,0.221203245756081,-0.0180066798937039,-3.10128908611,0.80391874372839,-0.27173792884299,-10.9885818510453,0,0,0,0,0,0,10.3852340495935,10.3852340495935,10.3852340495935,5.01482358022693,5.01482358022693,5.01482358022693,0.500521727800103,0.500521727800103,0.500521727800103,3.00386417802137,3.00386417802137,3.00386417802137,0,0,NaN,NaN
0.58,0.237628478478691,-0.0236840508131875,-3.32493450495872,0.838604528532565,-0.295999163105372,-11.3759600338264,0,0,0,0,0,0,10.4127228559143,10.4127228559143,10.4127228559143,5.01564169334294,5.01564169334294,5.01564169334294,0.500539708714504,0.500539708714504,0.500539708714504,3.00399733688297,3.00399733688297,3.00399733688297,0,0,NaN,NaN
0.6,0.254787548847134,-0.0298552981030953,-3.55630547861962,0.877302508311724,-0.321125565885408,-11.7611373322645,0,0,0,0,0,0,10.441104649283,10.441104649283,10.441104649283,5.01647964971453,5.01647964971453,5.01647964971453,0.500557688982999,0.500557688982999,0.500557688982999,3.00413048984228,3.00413048984228,3.00413048984228,0,0,NaN,NaN
0.62,0.272754540407625,-0.0365118379621187,-3.79537700343729,0.91939664773739,-0.344528420016927,-12.1460151495023,0,0,0,0,0,0,10.4703726018807,10.4703726018807,10.4703726018807,5.01733744083454,5.01733744083454,5.01733744083454,0.500575668605657,0.500575668605657,0.500575668605657,3.00426363690006,3.00426363690006,3.00426363690006,0,0,NaN,NaN
0.64,0.291599715258062,-0.0436303793586379,-4.04213126644875,0.965120837306373,-0.367325719634999,-12.5294111516432,0,0,0,0,0,0,10.5005197479548,10.5005197479548,10.5005197479548,5.01821505796633,5.01821505796633,5.01821505796633,0.500593647582548,0.500593647582548,0.500593647582548,3.00439677805712,3.00439677805712,3.00439677805712,0,0,NaN,NaN
0.66,0.311403859460784,-0.0512541575271392,-4.29660015143987,1.01529358296577,-0.395052097215136,-12.9174773474697,0,0,0,0,0,0,10.5315389915744,10.5315389915744,10.5315389915744,5.01911249214441,5.01911249214441,5.01911249214441,0.500611625913742,0.500611625913742,0.500611625913742,3.00452991331423,3.00452991331423,3.00452991331423,0,0,NaN,NaN
0.68,0.332211860563668,-0.059420040464177,-4.5587880820749,1.06550652732263,-0.421536196488637,-13.3013157160334,0,0,0,0,0,0,10.5634231143704,10.5634231143704,10.5634231143704,5.02002973417489,5.02002973417489,5.02002973417489,0.500629603599308,0.500629603599308,0.500629603599308,3.00466304267217,3.00466304267217,3.00466304267217,0,0,NaN,NaN
0.7,0.354001404113989,-0.0681106262472057,-4.82866385636841,1.11344782770946,-0.447522381814232,-13.6862617133169,0,0,0,0,0,0,10.5961647832442,10.5961647832442,10.5961647832442,5.02096677463614,5.02096677463614,5.02096677463614,0.500647580639316,0.500647580639316,0.500647580639316,3.00479616613174,3.00479616613174,3.00479616613174,0,0,NaN,NaN
0.72,0.376756609189844,-0.077345415367949,-5.10622074773352,1.1620726798761,-0.475956530260104,-14.0694274231944,0,0,0,0,0,0,10.6297565580303,10.6297565580303,10.6297565580303,5.0219236038793,5.0219236038793,5.0219236038793,0.500665557033835,0.500665557033835,0.500665557033835,3.00492928369371,3.00492928369371,3.00492928369371,0,0,NaN,NaN
0.74,0.40055715475051,-0.0871751993966521,-5.39143669509085,1.21798187619048,-0.507021872610205,-14.4521673125382,0,0,0,0,0,0,10.664190899097,10.664190899097,10.664190899097,5.02290021202891,5.02290021202891,5.02290021202891,0.500683532782935,0.500683532782935,0.500683532782935,3.00506239535887,3.00506239535887,3.00506239535887,0,0,NaN,NaN
0.76,0.425497966821252,-0.0976004496669144,-5.68429223512323,1.27609933088375,-0.535503154416019,-14.8333866907001,0,0,0,0,0,0,10.6994601748724,10.6994601748724,10.6994601748724,5.0238965889835,5.0238965889835,5.0238965889835,0.500701507886686,0.500701507886686,0.500701507886686,3.005195501128,3.005195501128,3.005195501128,0,0,NaN,NaN
0.78,0.451610864716903,-0.108613478951129,-5.98479913134259,1.33519045868136,-0.565799774005462,-15.2173029312357,0,0,0,0,0,0,10.7355566692817,10.7355566692817,10.7355566692817,5.02491272441622,5.02491272441622,5.02491272441622,0.500719482345156,0.500719482345156,0.500719482345156,3.00532860100189,3.00532860100189,3.00532860100189,0,0,NaN,NaN
